"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Source 1 Healthcare Solutions LLC","PA","Business Associate","15450","08/29/2019","Hacking/IT Incident","Email","Yes",""
"Artesia General Hospital","NM","Healthcare Provider","13905","08/27/2019","Hacking/IT Incident","Email","No",""
"Lyons Companies","PA","Business Associate","1982","08/23/2019","Hacking/IT Incident","Email","Yes",""
"The Cardiovascular Group","GA","Healthcare Provider","2168","08/23/2019","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Choctaw Nation Health Services Authority","OK","Healthcare Provider","550","08/23/2019","Hacking/IT Incident","Email","No",""
"Conway Regional Health System","AR","Healthcare Provider","37000","08/23/2019","Unauthorized Access/Disclosure","Email","No",""
"Navicent Health, Inc. ","GA","Healthcare Provider","1357","08/23/2019","Hacking/IT Incident","Email","No",""
"The Carle Foundation Hospital","IL","Healthcare Provider","1653","08/22/2019","Hacking/IT Incident","Email","No",""
"NorthStar Anesthesia, P.A.","TX","Healthcare Provider","19807","08/22/2019","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Massachusetts General Hospital","MA","Healthcare Provider","9900","08/22/2019","Hacking/IT Incident","Network Server","No",""
"Regence BlueShield Washington","OR","Business Associate","684","08/21/2019","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Wilson County Memorial Hospital District dba Connally Memorial Medical Center","TX","Healthcare Provider","7358","08/19/2019","Theft","Laptop","Yes",""
"Western Connecticut Health Network","CT","Healthcare Provider","1293","08/19/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"Cleveland Clinic Founation","OH","Healthcare Provider","604","08/19/2019","Loss","Other Portable Electronic Device","No",""
"Virginia Gay Hospital ","IA","Healthcare Provider","5030","08/16/2019","Hacking/IT Incident","Email","No",""
"Hospice of San Joaquin","CA","Healthcare Provider","13000","08/16/2019","Hacking/IT Incident","Network Server","No",""
"RHODE ISLAND EAR,NOSE AND THROAT PHYSICIANS INC.","RI","Healthcare Provider","2943","08/16/2019","Hacking/IT Incident","Network Server","No",""
"University of Michigan/Michigan Medicine","MI","Healthcare Provider","5466","08/16/2019","Hacking/IT Incident","Email","No",""
"Community Psychiatric Clinic","WA","Healthcare Provider","5866","08/15/2019","Hacking/IT Incident","Email","No",""
"Community Psychiatric Clinic","WA","Healthcare Provider","6641","08/15/2019","Hacking/IT Incident","Email","No",""
"Community Psychiatric Clinic","WA","Healthcare Provider","3030","08/15/2019","Hacking/IT Incident","Email","No",""
"Bayview Dental","MN","Healthcare Provider","1938","08/13/2019","Hacking/IT Incident","Network Server","No",""
"Grays Harbor Community Hospital","WA","Healthcare Provider","88399","08/12/2019","Hacking/IT Incident","Electronic Medical Record, Network Server, Other","No",""
"Quorum Health","TN","Healthcare Provider","1269","08/11/2019","Unauthorized Access/Disclosure","Email","No",""
"Primary Medicine of Sherman, PA/Robert J. Hernandez MD","TX","Healthcare Provider","1000","08/11/2019","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Harbor Health Services, Inc.","MA","Healthcare Provider","750","08/09/2019","Hacking/IT Incident","Email","No",""
"Renown Health","NV","Healthcare Provider","27004","08/09/2019","Loss","Other Portable Electronic Device","No",""
"Mid-Valley Behavioral Care Network","OR","Business Associate","10710","08/09/2019","Hacking/IT Incident","Email","Yes",""
"Walmart Inc.","AR","Healthcare Provider","4738","08/09/2019","Loss","Paper/Films","No",""
"Timothee T. Wilkin, D.O.","AR","Healthcare Provider","15113","08/09/2019","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Cancer Center of Kansas","KS","Healthcare Provider","773","08/09/2019","Hacking/IT Incident","Network Server","No",""
"Enlightened Solutions LLC","NJ","Healthcare Provider","844","08/09/2019","Hacking/IT Incident","Email","No",""
"IlliniCare Health Plan, Inc.","IL","Health Plan","3517","08/09/2019","Unauthorized Access/Disclosure","Desktop Computer, Other","No",""
"Fire Department City of New York","NY","Healthcare Provider","10292","08/09/2019","Theft","Other Portable Electronic Device","No",""
"Wisconsin Department of Corrections","WI","Healthcare Provider","1041","08/08/2019","Unauthorized Access/Disclosure","Email","No",""
"Community Health Choice, Inc.","TX","Health Plan","7855","08/08/2019","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Michael Amaro, MD, PA","TX","Healthcare Provider","500","08/08/2019","Unauthorized Access/Disclosure","Electronic Medical Record, Other, Paper/Films","No",""
"Drexel Medicine","PA","Healthcare Provider","4340","08/07/2019","Hacking/IT Incident","Email","No",""
"West Hills Hospital & Medical Center","CA","Healthcare Provider","10650","08/06/2019","Hacking/IT Incident","Network Server","Yes",""
"One Care Medical, LLC","VA","Healthcare Provider","634","08/06/2019","Hacking/IT Incident","Desktop Computer","No",""
"Integrated Regional Laboratories, LLC","FL","Healthcare Provider","29644","08/05/2019","Hacking/IT Incident","Network Server","Yes",""
"Wisconsin Diagnostic Laboratories","WI","Healthcare Provider","114985","08/02/2019","Hacking/IT Incident","Other","Yes",""
"University of Missouri Health Care","MO","Healthcare Provider","14402","08/02/2019","Hacking/IT Incident","Email","No",""
"Mount Sinai Hospital ","NY","Healthcare Provider","33730","08/02/2019","Hacking/IT Incident","Other","Yes",""
"Presbyterian Healthcare Services","NM","Healthcare Provider","183370","08/02/2019","Hacking/IT Incident","Email","No",""
"BioReference Laboratories Inc. ","NJ","Healthcare Provider","425749","07/30/2019","Hacking/IT Incident","Other","Yes",""
"CompuNet Clinical Laboratories, LLC","OH","Healthcare Provider","111555","07/26/2019","Hacking/IT Incident","Other","Yes",""
"Walmart Inc.","AR","Healthcare Provider","3135","07/26/2019","Loss","Paper/Films","No",""
"Fordland Clinic Inc.","MO","Healthcare Provider","881","07/26/2019","Hacking/IT Incident","Email","No",""
"Perry County Medical Center Inc. d/b/a Three Rivers Community Health Group","TN","Healthcare Provider","3812","07/26/2019","Hacking/IT Incident","Email","No",""
"Laboratory of Dermatopathology","NY","Healthcare Provider","4082","07/25/2019","Hacking/IT Incident","Network Server","No",""
"Arizona Dermatopathology","AZ","Healthcare Provider","5903","07/25/2019","Hacking/IT Incident","Network Server","No",""
"Laboratory Medicine Consultants, Ltd.","NV","Healthcare Provider","140590","07/25/2019","Hacking/IT Incident","Network Server","No",""
"Seacoast Pathology","NH","Healthcare Provider","8992","07/25/2019","Hacking/IT Incident","Network Server","No",""
"Austin Pathology","TX","Healthcare Provider","43676","07/25/2019","Hacking/IT Incident","Network Server","No",""
"Western Pathology","NV","Healthcare Provider","4079","07/25/2019","Hacking/IT Incident","Network Server","No",""
"Pathology Solutions, LLC","NJ","Healthcare Provider","13270","07/25/2019","Hacking/IT Incident","Network Server","No",""
"Hennepin Healthcare System, Inc. dba Hennepin Healthcare","MN","Healthcare Provider","820","07/25/2019","Hacking/IT Incident","Email","Yes",""
"Susan Marshall, M.D.,PC","NY","Healthcare Provider","743","07/25/2019","Theft","Laptop","No",""
"Temple University Health System","PA","Healthcare Provider","2399","07/25/2019","Hacking/IT Incident","Email","Yes",""
"Wayne County Board of Developmental Disabilities","OH","Healthcare Provider","536","07/25/2019","Hacking/IT Incident","Network Server","No",""
"RCCA MSO LLC","NJ","Business Associate","102000","07/23/2019","Hacking/IT Incident","Email","Yes",""
"City of Philadelphia","PA","Health Plan","1458","07/19/2019","Loss","Laptop","No",""
"Bayamon Medical Center Corp.","","Healthcare Provider","422496","07/19/2019","Hacking/IT Incident","Network Server","No",""
"Puerto Rico Women And Children's Hospital, LLC","","Healthcare Provider","99943","07/19/2019","Hacking/IT Incident","Network Server","No",""
"Imperial Health, LLP","LA","Healthcare Provider","116262","07/18/2019","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Rockville Eye Surgery Center LLC dba Palisades Eye Surgery Center","MD","Healthcare Provider","2696","07/17/2019","Hacking/IT Incident","Email","No",""
"Associates in Dermatology, PLLC","KY","Healthcare Provider","9020","07/16/2019","Hacking/IT Incident","Email","No",""
"Comprehensive Cancer Centers of Nevada","NV","Healthcare Provider","2251","07/16/2019","Theft","Paper/Films","No",""
"Brewer Porch Children's Center / The University of Alabama","AL","Healthcare Provider","727","07/16/2019","Hacking/IT Incident","Network Server","No",""
"Sunrise Medical Laboratories, Inc.","NY","Healthcare Provider","401901","07/15/2019","Hacking/IT Incident","Network Server","No",""
"CBLPath, Inc.","NY","Healthcare Provider","141956","07/15/2019","Unauthorized Access/Disclosure","Network Server","No",""
"Clinical Pathology Laboratories, Inc.","TX","Healthcare Provider","1733836","07/15/2019","Unauthorized Access/Disclosure","Network Server","No",""
"Memphis Pathology Laboratory d/b/a American Esoteric Laboratories","TN","Healthcare Provider","409789","07/15/2019","Unauthorized Access/Disclosure","Network Server","No",""
"Natera, Inc.","CA","Healthcare Provider","3035","07/15/2019","Hacking/IT Incident","Network Server","Yes",""
"Laboratory Corporation of America Holdings dba LabCorp","NC","Healthcare Provider","10251784","07/13/2019","Hacking/IT Incident","Network Server","Yes",""
"Wise Health System ","TX","Healthcare Provider","35899","07/13/2019","Hacking/IT Incident","Email","No",""
"Northwood, Inc.","MI","Business Associate","5000","07/12/2019","Unauthorized Access/Disclosure","Email","Yes",""
"CentraCare Health System","MN","Healthcare Provider","2085","07/12/2019","Hacking/IT Incident","Network Server","Yes",""
"Penobscot Community Health Center, Inc.","ME","Healthcare Provider","13299","07/12/2019","Hacking/IT Incident","Other","Yes",""
"Cancer Treatment Centers of America (CTCA) at Eastern Regional Medical Center","PA","Healthcare Provider","3904","07/12/2019","Hacking/IT Incident","Email","No",""
"Cancer Treatment Centers of America (CTCA) at Southeastern Regional Medical Center","GA","Healthcare Provider","4559","07/12/2019","Hacking/IT Incident","Email","No",""
"Hunt Regional Medical Center","TX","Healthcare Provider","3700","07/12/2019","Hacking/IT Incident","Network Server","No",""
"CareCentrix, Inc.","CT","Healthcare Provider","467621","07/11/2019","Hacking/IT Incident","Network Server","Yes",""
"Essentia Health - Duluth","MN","Healthcare Provider","1377","07/10/2019","Hacking/IT Incident","Email","Yes",""
"Benefitfocus.com, Inc.","SC","Business Associate","827","07/10/2019","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"St. Croix Hospice","MN","Healthcare Provider","21407","07/09/2019","Hacking/IT Incident","Email","No",""
"Nemadji Research Corporation d/b/a California Reimbursement Enterprises","MN","Business Associate","14591","07/08/2019","Hacking/IT Incident","Email","Yes",""
"Ameritas Life Insurance Corp.","NE","Health Plan","39675","07/08/2019","Hacking/IT Incident","Email","No",""
"Multnomah County Department of Human Services","OR","Business Associate","713","07/08/2019","Unauthorized Access/Disclosure","Other","Yes",""
"RGH Enterprises, Inc. d/b/a Edgepark Medical Supplies ","OH","Healthcare Provider","6572","07/05/2019","Hacking/IT Incident","Network Server","No",""
"Alive Hospice","TN","Healthcare Provider","608","07/03/2019","Hacking/IT Incident","Email","No",""
"Mercy Health System Corporation","WI","Healthcare Provider","5946","07/02/2019","Hacking/IT Incident","Email","Yes",""
"Adirondacks ACO, LLC","NY","Business Associate","39649","07/02/2019","Hacking/IT Incident","Email","Yes",""
"Memorial Hermann Health System","TX","Healthcare Provider","507","07/02/2019","Unauthorized Access/Disclosure","Email","No",""
"Henderson County Urgent Care Centers, Inc., a wholly owned subsidiary of Henderson County Hospital Corporation d/b/a Margaret R. Pardee Memorial Hospi","NC","Healthcare Provider","590","07/01/2019","Theft","Paper/Films","No",""
"Optum360, LLC","MN","Business Associate","11500000","07/01/2019","Hacking/IT Incident","Network Server","Yes",""
"Summa Health","OH","Healthcare Provider","7989","06/28/2019","Hacking/IT Incident","Email","No",""
"Summa Health","OH","Healthcare Provider","2904","06/28/2019","Hacking/IT Incident","Email","No",""
"Southwest Gastroenterology","IL","Healthcare Provider","1600","06/28/2019","Theft","Electronic Medical Record","No",""
"Addison County Home Health & Hospice","VT","Healthcare Provider","758","06/25/2019","Hacking/IT Incident","Email","No",""
"University of IOwa Hospitals & Clinics","IA","Healthcare Provider","950","06/25/2019","Unauthorized Access/Disclosure","Email","No",""
"Franciscan Alliance, Inc.","IN","Healthcare Provider","2180","06/24/2019","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Dominion Dental Services, Inc., Dominion National Insurance Company, and Dominion Dental Services USA, Inc.","VA","Health Plan","2964778","06/21/2019","Hacking/IT Incident","Network Server","No",""
"Adventist Health Physician Services","CA","Healthcare Provider","3797","06/21/2019","Improper Disposal","Paper/Films","No",""
"Boulevard Surgical Associates","CA","Healthcare Provider","542","06/20/2019","Theft","Paper/Films","No",""
"Community Physicians Group","AR","Healthcare Provider","5400","06/20/2019","Hacking/IT Incident","Email","No",""
"EyeCare Partners, LLC [on behalf of affiliated covered entities]","MO","Healthcare Provider","141165","06/19/2019","Hacking/IT Incident","Network Server","No",""
"Henry Ford Health System","MI","Healthcare Provider","1404","06/19/2019","Unauthorized Access/Disclosure","Email","No",""
"Huntridge Family Clinic","NV","Healthcare Provider","2000","06/18/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"Brenda LaTowsky, M.D., PLC","AZ","Healthcare Provider","1282","06/17/2019","Theft","Laptop, Other Portable Electronic Device","No",""
"Community Healthlink","MA","Healthcare Provider","4598","06/17/2019","Hacking/IT Incident","Email","No",""
"Inform Diagnostics, Inc.","TX","Healthcare Provider","173617","06/14/2019","Hacking/IT Incident","Network Server","Yes",""
"Desert Healthcare Services, LLC","AZ","Healthcare Provider","8000","06/11/2019","Hacking/IT Incident","Network Server","No",""
"Kansas City VAMC","MO","Healthcare Provider","534","06/11/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"Sunshine State Health Plan, Inc.","FL","Health Plan","2000","06/07/2019","Unauthorized Access/Disclosure","Other","Yes",""
